WARNING: crossbar sizes with different row annd column dimension not supported.

      ==> Arguments:
          dataset: imnet
          model: resnet18
          workers: 4
          epochs: 30
          start_epoch: 0
          train_batch_size: 320
          test_batch_size: 320
          lr: 0.01
          momentum: 0.9
          weight_decay: 0.0001
          mvm: True
          nideal: None
          tag: i8b6f_w8b6f
          milestones: [5, 10, 15, 20]
          gamma: 0.2
          input_size: None
          print_freq: 100
          resume: 
          evaluate: False
          pretrained: ../pretrained_models/ideal/resnet18fp_imnet.pth.tar
          half: False
          savedir: ../pretrained_models/ideal/
          save_every: 10
          gpus: 0,1,2,3

      ==> Functional simulator configurations:
          weight_bits=8
          weight_bit_frac=6
          input_bits=8
          input_bit_frac=6
          xbar_row_size=64
          xbar_col_size=64
          tile_row=2
          tile_col=2
          bit_stream=1
          bit_slice=2
          adc_bit=14
          acm_bits=32
          acm_bit_frac=24
          mvm=True
          non-ideality=False
          
xbmodel=NN_model(
  (fc1): Linear(in_features=4160, out_features=500, bias=True)
  (relu1): ReLU(inplace=True)
  (do2): Dropout(p=0.5, inplace=False)
  (fc3): Linear(in_features=500, out_features=64, bias=True)
)
          
xbmodel_weight_path=../xb_models/XB_64_stream1slice207dropout50epochs.pth.tar
          inmax_test=1.2
          inmin_test=0.857


DEVICE: cuda
GPU Id(s) being used: 0,1,2,3
==> Building model and model_mvm for resnet18 ...
WARNING: crossbar sizes with different row annd column dimension not supported.
==> Initializing model parameters ...
==> Load pretrained model from ../pretrained_models/ideal/resnet18fp_imnet.pth.tar ...
Pretrained model accuracy: 69.93189239501953
Validating...
Test: [0/157]	Loss 2.3369 (2.3369)	Prec@1 43.750 (43.750)
Test: [1/157]	Loss 1.7060 (2.0214)	Prec@1 60.000 (51.875)
Test: [2/157]	Loss 1.6027 (1.8819)	Prec@1 65.000 (56.250)
Test: [3/157]	Loss 2.2705 (1.9790)	Prec@1 51.250 (55.000)
Test: [4/157]	Loss 3.8142 (2.3461)	Prec@1 28.750 (49.750)
Test: [5/157]	Loss 3.7917 (2.5870)	Prec@1 25.938 (45.781)
Test: [6/157]	Loss 3.3682 (2.6986)	Prec@1 31.250 (43.705)
Test: [7/157]	Loss 3.5870 (2.8097)	Prec@1 27.812 (41.719)
Test: [8/157]	Loss 3.9012 (2.9309)	Prec@1 19.688 (39.271)
Test: [9/157]	Loss 2.8007 (2.9179)	Prec@1 36.562 (39.000)
Test: [10/157]	Loss 2.0539 (2.8394)	Prec@1 48.125 (39.830)
Test: [11/157]	Loss 2.3210 (2.7962)	Prec@1 45.312 (40.286)
Test: [12/157]	Loss 2.5009 (2.7735)	Prec@1 48.438 (40.913)
Test: [13/157]	Loss 1.2391 (2.6639)	Prec@1 72.500 (43.170)
Test: [14/157]	Loss 1.6831 (2.5985)	Prec@1 64.062 (44.562)
Test: [15/157]	Loss 1.9772 (2.5597)	Prec@1 57.812 (45.391)
Test: [16/157]	Loss 3.1153 (2.5923)	Prec@1 33.750 (44.706)
Test: [17/157]	Loss 4.4826 (2.6974)	Prec@1 16.875 (43.160)
Test: [18/157]	Loss 2.6542 (2.6951)	Prec@1 38.125 (42.895)
Test: [19/157]	Loss 2.9953 (2.7101)	Prec@1 36.562 (42.578)
Test: [20/157]	Loss 1.8304 (2.6682)	Prec@1 58.750 (43.348)
Test: [21/157]	Loss 1.8143 (2.6294)	Prec@1 59.062 (44.062)
Test: [22/157]	Loss 2.1192 (2.6072)	Prec@1 55.312 (44.552)
Test: [23/157]	Loss 4.5713 (2.6890)	Prec@1 21.250 (43.581)
Test: [24/157]	Loss 3.9643 (2.7400)	Prec@1 24.688 (42.825)
Test: [25/157]	Loss 2.7540 (2.7406)	Prec@1 37.188 (42.608)
Test: [26/157]	Loss 2.9362 (2.7478)	Prec@1 35.938 (42.361)
Test: [27/157]	Loss 2.9938 (2.7566)	Prec@1 31.562 (41.975)
Test: [28/157]	Loss 2.4352 (2.7455)	Prec@1 42.188 (41.983)
Test: [29/157]	Loss 2.9694 (2.7530)	Prec@1 34.375 (41.729)
Test: [30/157]	Loss 2.6993 (2.7513)	Prec@1 38.438 (41.623)
Test: [31/157]	Loss 2.8019 (2.7528)	Prec@1 36.250 (41.455)
Test: [32/157]	Loss 2.9917 (2.7601)	Prec@1 35.000 (41.259)
Test: [33/157]	Loss 2.5952 (2.7552)	Prec@1 40.312 (41.232)
Test: [34/157]	Loss 2.6023 (2.7509)	Prec@1 45.000 (41.339)
Test: [35/157]	Loss 3.4052 (2.7690)	Prec@1 32.812 (41.102)
Test: [36/157]	Loss 3.1917 (2.7805)	Prec@1 29.688 (40.794)
Test: [37/157]	Loss 4.0830 (2.8147)	Prec@1 14.688 (40.107)
Test: [38/157]	Loss 3.9314 (2.8434)	Prec@1 22.188 (39.647)
Test: [39/157]	Loss 3.6935 (2.8646)	Prec@1 31.250 (39.438)
Test: [40/157]	Loss 3.7011 (2.8850)	Prec@1 28.750 (39.177)
Test: [41/157]	Loss 3.6058 (2.9022)	Prec@1 24.062 (38.817)
Test: [42/157]	Loss 2.2462 (2.8869)	Prec@1 44.375 (38.946)
Test: [43/157]	Loss 2.5990 (2.8804)	Prec@1 43.125 (39.041)
Test: [44/157]	Loss 3.4232 (2.8925)	Prec@1 37.500 (39.007)
Test: [45/157]	Loss 2.0843 (2.8749)	Prec@1 51.875 (39.287)
Test: [46/157]	Loss 2.4833 (2.8666)	Prec@1 45.312 (39.415)
Test: [47/157]	Loss 3.4689 (2.8791)	Prec@1 31.562 (39.251)
Test: [48/157]	Loss 4.0874 (2.9038)	Prec@1 21.250 (38.884)
Test: [49/157]	Loss 4.0962 (2.9276)	Prec@1 24.688 (38.600)
Test: [50/157]	Loss 1.5256 (2.9001)	Prec@1 67.500 (39.167)
Test: [51/157]	Loss 1.9248 (2.8814)	Prec@1 52.812 (39.429)
Test: [52/157]	Loss 2.3316 (2.8710)	Prec@1 53.125 (39.688)
Test: [53/157]	Loss 2.4632 (2.8634)	Prec@1 49.062 (39.861)
Test: [54/157]	Loss 1.7182 (2.8426)	Prec@1 56.562 (40.165)
Test: [55/157]	Loss 2.7858 (2.8416)	Prec@1 40.000 (40.162)
Test: [56/157]	Loss 2.7441 (2.8399)	Prec@1 47.188 (40.285)
Test: [57/157]	Loss 3.8668 (2.8576)	Prec@1 25.625 (40.032)
Test: [58/157]	Loss 3.6128 (2.8704)	Prec@1 36.562 (39.974)
