WARNING: crossbar sizes with different row annd column dimension not supported.

      ==> Functional simulator configurations:
          weight_bits=16
          weight_bit_frac=12
          input_bits=16
          input_bit_frac=12
          xbar_row_size=128
          xbar_col_size=128
          tile_row=2
          tile_col=2
          bit_stream=1
          bit_slice=2
          adc_bit=14
          acm_bits=32
          acm_bit_frac=24
          mvm=False
          non-ideality=False
          
xbmodel=NN_model(
  (fc1): Linear(in_features=16512, out_features=500, bias=True)
  (relu1): ReLU(inplace=True)
  (do2): Dropout(p=0.5, inplace=False)
  (fc3): Linear(in_features=500, out_features=128, bias=True)
)
          
xbmodel_weight_path=../xb_models/XB_128_stream1slice207dropout50epochs.pth.tar
          inmax_test=1.4
          inmin_test=0.826


DEVICE: cuda:0
GPU Id(s) being used: 1,2,3
==> Building model and model_mvm for resnet18 ...
WARNING: crossbar sizes with different row annd column dimension not supported.
==> Initializing model parameters ...
==> Load pretrained model form ../pretrained_models/ideal/resnet18fp_imnet.pth.tar ...
Pretrained model accuracy: 69.93189239501953
[0/782(0%)]	Loss 0.5744 (0.5744)	Prec@1 89.062 (89.062)	Prec@5 96.875 (96.875)
[1/782(0%)]	Loss 0.3210 (0.4477)	Prec@1 90.625 (89.844)	Prec@5 98.438 (97.656)
[2/782(0%)]	Loss 0.9143 (0.6032)	Prec@1 82.812 (87.500)	Prec@5 93.750 (96.354)
[3/782(0%)]	Loss 0.7379 (0.6369)	Prec@1 81.250 (85.938)	Prec@5 95.312 (96.094)
[4/782(1%)]	Loss 1.2169 (0.7529)	Prec@1 71.875 (83.125)	Prec@5 87.500 (94.375)
[5/782(1%)]	Loss 1.0658 (0.8051)	Prec@1 75.000 (81.771)	Prec@5 92.188 (94.010)
[6/782(1%)]	Loss 0.7713 (0.8002)	Prec@1 76.562 (81.027)	Prec@5 96.875 (94.420)
[7/782(1%)]	Loss 0.3339 (0.7419)	Prec@1 92.188 (82.422)	Prec@5 96.875 (94.727)
[8/782(1%)]	Loss 0.2867 (0.6914)	Prec@1 92.188 (83.507)	Prec@5 98.438 (95.139)
[9/782(1%)]	Loss 0.5462 (0.6769)	Prec@1 84.375 (83.594)	Prec@5 98.438 (95.469)
[10/782(1%)]	Loss 0.1277 (0.6269)	Prec@1 95.312 (84.659)	Prec@5 100.000 (95.881)
[11/782(1%)]	Loss 0.3708 (0.6056)	Prec@1 92.188 (85.286)	Prec@5 93.750 (95.703)
